identifier;name;wikipediaSlug
abyssinian;Abyssinian;Abyssinian_cat
american bobtail;American Bobtail;American_Bobtail
american curl;American Curl;American_Curl
american shorthair;American Shorthair;American_Shorthair
american wirehair;American Wirehair;American_Wirehair
angora turkish;Turkish Angora;Turkish_Angora
balinese;Balinese;Balinese_cat
bambino;Bambino;Bambino_cat
bengal;Bengal;Bengal_cat
birman;Birman;Birman
bleu russe;Russian Blue;Russian_Blue
bombay;Bombay;Bombay_cat
british shorthair;British Shorthair;British_Shorthair
burmese;Burmese;Burmese_cat
burmilla;Burmilla;Burmilla
chartreux;Chartreux;Chartreux
cornish rex;Cornish Rex;Cornish_Rex
devon rex;Devon Rex;Devon_Rex
européen;European;European_Shorthair
exotic;Exotic Shorthair;Exotic_Shorthair
havana brown;Havana Brown;Havana_Brown
japanese bobtail;Japanese Bobtail;Japanese_Bobtail
javanese;Javanese;Javanese_cat
korat;Korat;Korat
laperm;LaPerm;LaPerm
maine coone;Maine Coon;Maine_Coon
manx;Manx;Manx_cat
mau egyptien;Egyptian Mau;Egyptian_Mau
norvegien;Norwegian Forest;Norwegian_Forest_cat
ocicat;Ocicat;Ocicat
oriental;Oriental Shorthair;Oriental_Shorthair
persan;Persian;Persian_cat
pixie-bob;Pixie-bob;Pixie-bob
ragdoll;Ragdoll;Ragdoll
savannah;Savannah;Savannah_cat
scottish;Scottish Fold;Scottish_Fold
siamois;Siamese;Siamese_cat
sibérien;Siberian;Siberian_cat
singapura;Singapura;Singapura_cat
snowshoe;Snowshoe;Snowshoe_cat
somali;Somali;Somali_cat
sphynx;Sphynx;Sphynx_cat
tonkinois;Tonkinese;Tonkinese_cat
turc van;Turkish Van;Turkish_Van
